name,time (seconds),
feature_mean,,
log_reg,2.8998568058013916,
svm_linear,8.19550895690918,
svm_poly_2,15.321249723434448,
svm_poly_3,14.063421964645386,
svm_poly_4,18.5807101726532,
whole_data,,
log_reg,7.8912131786346436,
svm_poly,188.70821118354797,
svm_poly_2,210.46755695343018,
svm_poly_3,269.93255496025085,
svm_poly_4,145.21395468711853,
pca,,
_pca,99.11683201789856,
svm_linear_model,92.37096500396729,
svm_poly_2,123.72476816177368,
svm_poly_3,172.16241192817688,
svm_poly_4,173.38392996788025,
corr_multi,,
test_cor,850.8973128795624,
log_reg,2.1137771606445312,
svm_linear,2.1734819412231445,
svm_poly_2,3.143026828765869,
svm_poly_3,3.956731081008911,
svm_poly_4,4.844135284423828,
vif,179.52501606941223,
log_reg,2.8812921047210693,
svm_poly_2,3.259683847427368,
svm_poly_3,3.9752602577209473,
svm_poly_4,4.437726020812988,
